,Relative Gain,Fold,Prototype,Data Dimension,Center Dimension,Data Set
0,-0.022776133920576758,0,eigengene,1,1,ebola_Liver
1,-4.999750012513182e-05,1,eigengene,1,1,ebola_Liver
2,-0.026975470551585667,2,eigengene,1,1,ebola_Liver
3,0.052576180201042044,3,eigengene,1,1,ebola_Liver
4,-4.999750012513182e-05,4,eigengene,1,1,ebola_Liver
5,-0.022776133920576758,0,flag_mean,1,1,ebola_Liver
6,-4.999750012513182e-05,1,flag_mean,1,1,ebola_Liver
7,0.03840562431253702,2,flag_mean,1,1,ebola_Liver
8,0.026261775696015954,3,flag_mean,1,1,ebola_Liver
9,-4.999750012513182e-05,4,flag_mean,1,1,ebola_Liver
10,-0.022776133920576758,0,flag_median,1,1,ebola_Liver
11,-4.999750012513182e-05,1,flag_median,1,1,ebola_Liver
12,0.03840562431253702,2,flag_median,1,1,ebola_Liver
13,0.026261775696015954,3,flag_median,1,1,ebola_Liver
14,-4.999750012513182e-05,4,flag_median,1,1,ebola_Liver
15,-4.999750012513182e-05,0,module_expression,1,1,ebola_Liver
16,-4.999750012513182e-05,1,module_expression,1,1,ebola_Liver
17,0.011483997015545366,2,module_expression,1,1,ebola_Liver
18,0.026261775696015954,3,module_expression,1,1,ebola_Liver
19,-4.999750012513182e-05,4,module_expression,1,1,ebola_Liver
20,-0.022776133920576758,0,eigengene,1,2,ebola_Liver
21,-4.999750012513182e-05,1,eigengene,1,2,ebola_Liver
22,0.011483997015545366,2,eigengene,1,2,ebola_Liver
23,0.026261775696015954,3,eigengene,1,2,ebola_Liver
24,-4.999750012513182e-05,4,eigengene,1,2,ebola_Liver
25,-4.999750012513182e-05,0,flag_mean,1,2,ebola_Liver
26,-0.022776133920576758,1,flag_mean,1,2,ebola_Liver
27,-0.01543763028144629,2,flag_mean,1,2,ebola_Liver
28,-0.011330230739735492,3,flag_mean,1,2,ebola_Liver
29,-4.999750012513182e-05,0,flag_median,1,2,ebola_Liver
30,-0.022776133920576758,1,flag_median,1,2,ebola_Liver
31,0.011483997015545366,2,flag_median,1,2,ebola_Liver
32,0.052576180201042044,3,flag_median,1,2,ebola_Liver
33,-4.999750012513182e-05,4,flag_median,1,2,ebola_Liver
34,-0.022776133920576758,0,eigengene,1,4,ebola_Liver
35,-4.999750012513182e-05,1,eigengene,1,4,ebola_Liver
36,0.011483997015545366,2,eigengene,1,4,ebola_Liver
37,0.052576180201042044,3,eigengene,1,4,ebola_Liver
38,-4.999750012513182e-05,4,eigengene,1,4,ebola_Liver
39,-4.999750012513182e-05,0,flag_mean,1,4,ebola_Liver
40,-4.999750012513182e-05,1,flag_mean,1,4,ebola_Liver
41,0.03840562431253702,2,flag_mean,1,4,ebola_Liver
42,-0.025048747562621987,4,flag_mean,1,4,ebola_Liver
43,-0.045502270341028495,0,flag_median,1,4,ebola_Liver
44,-4.999750012513182e-05,1,flag_median,1,4,ebola_Liver
45,0.026261775696015954,3,flag_median,1,4,ebola_Liver
46,-0.025048747562621987,4,flag_median,1,4,ebola_Liver
